session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
n40mbswe,1,pa20p4kw,0,,InitializeParticipant,1673522771,1,0,0
n40mbswe,1,pa20p4kw,1,Intro,Welcome,1673522774,1,0,0
n40mbswe,1,pa20p4kw,6,belief_survey_aggregate,UrnDraw,1673522796,1,0,0
n40mbswe,1,pa20p4kw,19,belief_survey_aggregate,BeliefInput,1673522821,4,0,0
n40mbswe,2,f6lwn6fx,6,belief_survey_aggregate,UrnDraw,1673522859,1,0,0
n40mbswe,2,f6lwn6fx,23,belief_survey_aggregate,BeliefInput,1673522870,5,0,0
0x9e41wu,1,ub8meyy6,0,,InitializeParticipant,1673523371,1,0,0
n40mbswe,2,f6lwn6fx,5,belief_survey_aggregate,InstructionsFeedback,1673522857,1,0,0
n40mbswe,2,f6lwn6fx,11,belief_survey_aggregate,BeliefInput,1673522864,2,0,0
n40mbswe,2,f6lwn6fx,15,belief_survey_aggregate,BeliefInput,1673522866,3,0,0
0x9e41wu,1,ub8meyy6,1,Intro,Welcome,1673523374,1,0,0
n40mbswe,1,pa20p4kw,7,belief_survey_aggregate,BeliefInput,1673522801,1,0,0
n40mbswe,1,pa20p4kw,11,belief_survey_aggregate,BeliefInput,1673522803,2,0,0
n40mbswe,1,pa20p4kw,15,belief_survey_aggregate,BeliefInput,1673522817,3,0,0
n40mbswe,2,f6lwn6fx,3,Intro,Consent,1673522833,1,0,0
n40mbswe,2,f6lwn6fx,19,belief_survey_aggregate,BeliefInput,1673522868,4,0,0
0x9e41wu,1,ub8meyy6,5,belief_survey_aggregate,InstructionsFeedback,1673523401,1,0,0
n40mbswe,1,pa20p4kw,3,Intro,Consent,1673522776,1,0,0
n40mbswe,1,pa20p4kw,4,belief_survey_aggregate,Instructions,1673522791,1,0,0
n40mbswe,1,pa20p4kw,5,belief_survey_aggregate,InstructionsFeedback,1673522793,1,0,0
n40mbswe,2,f6lwn6fx,0,,InitializeParticipant,1673522828,1,0,0
n40mbswe,2,f6lwn6fx,1,Intro,Welcome,1673522830,1,0,0
n40mbswe,2,f6lwn6fx,4,belief_survey_aggregate,Instructions,1673522856,1,0,0
n40mbswe,2,f6lwn6fx,7,belief_survey_aggregate,BeliefInput,1673522861,1,0,0
0x9e41wu,1,ub8meyy6,23,belief_survey_aggregate,BeliefInput,1673523439,5,0,0
0x9e41wu,1,ub8meyy6,27,belief_survey_aggregate,BeliefInput,1673523441,6,0,0
0x9e41wu,1,ub8meyy6,31,belief_survey_aggregate,BeliefInput,1673523443,7,0,0
0x9e41wu,2,el6aok72,0,,InitializeParticipant,1673523623,1,0,0
0x9e41wu,1,ub8meyy6,4,belief_survey_aggregate,Instructions,1673523399,1,0,0
0x9e41wu,1,ub8meyy6,7,belief_survey_aggregate,BeliefInput,1673523414,1,0,0
0x9e41wu,1,ub8meyy6,19,belief_survey_aggregate,BeliefInput,1673523435,4,0,0
